Sentence,Homophone,Correct Word
"The jury did not elaborate , but it added that `` there should be periodic surveillance of the pricing practices of the concessionaires for the purpose of keeping the prices reasonable '' .",there,there
"The jury did not elaborate , but it added that `` their should be periodic surveillance of the pricing practices of the concessionaires for the purpose of keeping the prices reasonable '' .",their,there
"Despite the warning , there was a unanimous vote to enter a candidate , according to Republicans who attended .",there,there
"Despite the warning , their was a unanimous vote to enter a candidate , according to Republicans who attended .",their,there
"When the crowd was asked whether it wanted to wait one more term to make the race , it voted no -- and there were no dissents .",there,there
"When the crowd was asked whether it wanted to wait one more term to make the race , it voted no -- and their were no dissents .",their,there
A Highway Department source said there also is a plan there to issue some $3 million to $4 million worth of Rural Roads Authority bonds for rural road construction work .,there,there
A Highway Department source said their also is a plan their to issue some $3 million to $4 million worth of Rural Roads Authority bonds for rural road construction work .,their,there
Pelham said Sunday night there was research being done on whether the `` quickie '' vote on the increase can be repealed outright or whether notice would have to first be given that reconsideration of the action would be sought .,there,there
Pelham said Sunday night their was research being done on whether the `` quickie '' vote on the increase can be repealed outright or whether notice would have to first be given that reconsideration of the action would be sought .,their,there
"As of Sunday night , there was no word of a resolution being offered there to rescind the action .",there,there
"As of Sunday night , their was no word of a resolution being offered their to rescind the action .",their,there
"Barber , who is in his 13th year as a legislator , said there `` are some members of our congressional delegation in Washington who would like to see it ( the resolution ) passed '' .",there,there
"Barber , who is in his 13th year as a legislator , said their `` are some members of our congressional delegation in Washington who would like to see it ( the resolution ) passed '' .",their,there
"Many local citizens feared that there would be irregularities at the polls , and Williams got himself a permit to carry a gun and promised an orderly election .",there,there
"Many local citizens feared that their would be irregularities at the polls , and Williams got himself a permit to carry a gun and promised an orderly election .",their,there
`` There wasn't a bit of trouble '' .,there,there
`` There wasn't a bit of trouble '' .,their,there
"Dewey Lawrence , a Tyler lawyer representing the Texas Bankers Association , sounded the opposition keynote when he said it would force banks to violate their contractual obligations with depositors and undermine the confidence of bank customers .",their,their
"Dewey Lawrence , a Tyler lawyer representing the Texas Bankers Association , sounded the opposition keynote when he said it would force banks to violate they're contractual obligations with depositors and undermine the confidence of bank customers .",they're,their
There was no debate as the Senate passed the bill on to the House .,there,there
There was no debate as the Senate passed the bill on to the House .,their,there
"The TEA estimated there would be 182 scholastics to attend the day school in Dallas County , saving them from coming to Austin to live in the state deaf school .",there,there
"The TEA estimated their would be 182 scholastics to attend the day school in Dallas County , saving them from coming to Austin to live in the state deaf school .",their,there
"The other bill , by Sen. A. M. Aikin Jr. of Paris , would relieve real estate brokers , who pay their own annual licensing fee , from the $12 annual occupation license on brokers in such as stocks and bonds .",their,their
"The other bill , by Sen. A. M. Aikin Jr. of Paris , would relieve real estate brokers , who pay they're own annual licensing fee , from the $12 annual occupation license on brokers in such as stocks and bonds .",they're,their
"Several defendants in the Summerdale police burglary trial made statements indicating their guilt at the time of their arrest , Judge James B. Parsons was told in Criminal court yesterday .",their,their
"Several defendants in the Summerdale police burglary trial made statements indicating they're guilt at the time of they're arrest , Judge James B. Parsons was told in Criminal court yesterday .",they're,their
"`` Yes , your honor '' , replied Bellows .",your,your
"`` Yes , you're honor '' , replied Bellows .",you're,your
"`` What this amounts to , if true , is that there will be a free-for-all fight in this case .",there,there
"`` What this amounts to , if true , is that their will be a free-for-all fight in this case .",their,there
There is a conflict among the defendants '' .,there,there
There is a conflict among the defendants '' .,their,there
"Calls proposal modest He said his plan is designed to `` meet the needs of those millions who have no wish to receive care at the taxpayers' expense , but who are nevertheless staggered by the drain on their savings -- or those of their children -- caused by an extended hospital stay '' .",their,their
"Calls proposal modest He said his plan is designed to `` meet the needs of those millions who have no wish to receive care at the taxpayers' expense , but who are nevertheless staggered by the drain on they're savings -- or those of they're children -- caused by an extended hospital stay '' .",they're,their
said the message did not persuade them to change their opposition to compulsory medical insurance .,their,their
said the message did not persuade them to change they're opposition to compulsory medical insurance .,they're,their
Only 11 senators were on the floor and there was no record vote .,there,there
Only 11 senators were on the floor and their was no record vote .,their,there
